year,date,time,latitude,longitude,depth,surface_wave_magnitude,abe_magnitude,intensity,max_height,moment_magnitude,available_observations,damage_code,cause,validity,warning_status,region_code,basic_reference,source_region
1862,12 Jan,07:19:00,52.3,106.7,20,7.5,N/A,2.0,N/A,N/A,0,0,E,2,N/A,BAI,GTC,Eastern coat of Baikal Lake
-1628,30 Nov,00:00:00,36.4,25.4,N/A,7.0,N/A,3.0,N/A,6.0,0,0,V,4,N/A,MED,GTC,"Thera Is., S. Aegian Sea"
-1300,30 Nov,00:00:00,40.0,26.0,N/A,N/A,N/A,3.0,N/A,5.0,0,0,U,2,N/A,MED,PAP,"North Agean Sea, Troy"
-760,30 Nov,00:00:00,34.0,35.0,N/A,N/A,N/A,2.0,N/A,3.0,0,0,U,2,N/A,MED,SO1,ISRAEL & LEBANON COASTS
-590,30 Nov,00:00:00,36.7,22.6,N/A,6.8,N/A,2.0,N/A,3.0,0,0,E,2,N/A,MED,SO1,N/A
-525,30 Nov,00:00:00,39.4,22.3,N/A,7.5,N/A,2.0,N/A,3.0,0,0,E,2,N/A,MED,SO1,N/A
-480,29 Sep,00:00:00,37.9,23.3,N/A,6.3,N/A,2.0,N/A,3.0,0,0,E,1,N/A,MED,PAP,Saronic Gulf
-479,30 Nov,00:00:00,39.7,23.3,N/A,6.7,N/A,2.0,N/A,3.0,0,0,E,3,N/A,MED,SO1,MACEDONIA
-479,31 Mar,00:00:00,N/A,N/A,N/A,N/A,N/A,2.0,N/A,3.0,0,0,U,3,N/A,MED,PAP,North Agean Sea
-426,30 Sep,00:00:00,38.9,22.7,N/A,7.0,N/A,2.0,N/A,5.0,0,0,E,4,N/A,MED,PAP,Maliakos Gulf
-373,30 Nov,00:00:00,38.2,22.3,N/A,6.6,N/A,3.0,N/A,5.0,0,0,E,4,N/A,MED,PAP,"Heliki, W.Corinthos Gulf"
-330,30 Nov,00:00:00,40.0,25.0,N/A,7.0,N/A,N/A,N/A,N/A,0,0,E,1,N/A,MED,SO1,EAST SPORADES ISLANDS
-228,30 Nov,00:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,U,1,N/A,MED,PAP,South Evoikos Gulf
-227,30 Nov,00:00:00,36.5,27.8,N/A,7.5,N/A,2.0,N/A,3.0,0,0,E,1,N/A,MED,PAP,Dodecanese Is.
-223,30 Nov,00:00:00,38.8,42.7,N/A,N/A,N/A,N/A,N/A,N/A,0,0,E,2,N/A,MED,PAP,Meliakos Gulf
